1. Tech Provider ID,2. Node ID,3. Tech Type
1083,2978,tA2
1084,2770,tA2
1085,745,tA2
1086,2615,tA2
1087,170,tA2
1088,943,tA2
1089,2054,tA2
1090,1258,tA2
1091,294,tA2
1092,695,tA2
1093,837,tA2
1094,41,tA2
1095,727,tA2
1096,1165,tA2
1097,2583,tA2
1098,3084,tA2
1099,1857,tA2
1100,545,tA2
1101,618,tA2
1102,2279,tA2
1103,1930,tA2
1104,2654,tA2
1105,959,tA2
1106,3043,tA2
1107,1018,tA2
1108,1885,tA2
1109,2284,tA2
1110,468,tA2
1111,2255,tA2
1112,2776,tA2
1113,2214,tA2
1114,267,tA2
1115,2038,tA2
1116,1167,tA2
1117,2557,tA2
1118,1620,tA2
1119,283,tA2
1120,3067,tA2
1121,434,tA2
1122,1335,tA2
1123,1191,tA2
1124,2076,tA2
1125,704,tA2
1126,2300,tA2
1127,2535,tA2
1128,1836,tA2
1129,1874,tA2
1130,1271,tA2
1131,1116,tA2
1132,1235,tA2
1133,321,tA2
1134,2882,tA2
1135,2032,tA2
1136,333,tA2
1137,1353,tA2
1138,2224,tA2
1139,2476,tA2
1140,1841,tA2
1141,369,tA2
1142,1428,tA2
1143,2872,tA2
1144,177,tA2
1145,394,tA2
1146,2238,tA2
1147,255,tA2
1148,1788,tA2
1149,1255,tA2
1150,1180,tA2
1151,2106,tA2
1152,1208,tA2
1153,1746,tA2
1154,300,tA2
1155,1737,tA2
1156,807,tA2
1157,173,tA2
1158,1153,tA2
1159,1350,tA2
1160,286,tA2
1161,1785,tA2
1162,1924,tA2
1163,2673,tA2
1164,2489,tA2
1165,1936,tA2
1166,396,tA2
1167,2618,tA2
1168,70,tA2
1169,642,tA2
1170,406,tA2
1171,1759,tA2
1172,1932,tA2
1173,2248,tA2
1174,1397,tA2
1175,2710,tA2
1176,2264,tA2
1177,1111,tA2
1178,1366,tA2
1179,2680,tA2
1180,2871,tA2
1181,716,tA2
1182,185,tA2
1183,3050,tA2
1184,2896,tA2
1185,2303,tA2
1186,3080,tA2
1187,1866,tA2
1188,169,tA2
1189,2021,tA2
1190,967,tA2
1191,2580,tA2
1192,2399,tA2
1193,1073,tA2
1194,1210,tA2
1195,1899,tA2
1196,2221,tA2
1197,1132,tA2
1198,2746,tA2
1199,2484,tA2
1200,2096,tA2
1201,608,tA2
1202,2321,tA2
1203,651,tA2
1204,762,tA2
1205,1739,tA2
1206,711,tA2
1207,1119,tA2
1208,2282,tA2
1209,351,tA2
1210,2948,tA2
1211,2732,tA2
1212,1185,tA2
1213,1750,tA2
1214,2236,tA2
1215,1087,tA2
1216,387,tA2
1217,2196,tA2
1218,148,tA2
1219,1801,tA2
1220,1082,tA2
1221,69,tA2
1222,2079,tA2
1223,2581,tA2
1224,527,tA2
1225,1149,tA2
1226,105,tA2
1227,52,tA2
1228,145,tA2
1229,2217,tA2
1230,1498,tA2
1231,2960,tA2
1232,1786,tA2
1233,2113,tA2
1234,673,tA2
1235,3045,tA2
1236,1200,tA2
1237,2715,tA2
1238,414,tA2
1239,380,tA2
1240,1580,tA2
1241,877,tA2
1242,2677,tA2
1243,450,tA2
1244,3073,tA2
1245,1596,tA2
1246,1832,tA2
1247,1952,tA2
1248,2094,tA2
1249,1817,tA2
1250,1934,tA2
