,Latitude,Longitude,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
n800,43.2059,-89.3105,-15.05877377,-24.36819552,-19.20965222,0,0,0,0,797.3739755,-13.43671405,-20.08894674,-15.67400585,-17.17298434,-17.02934205,-12.54412848,97.37397555,97.37397555,97.37397555,0,0,0
n801,43.2208,-89.5801,-17.30366138,-23.34837882,-19.55912141,0,0,0,0,796.5123751,-15.52766638,-23.07140907,-18.00507346,-16.78199837,-16.61281662,-11.98216971,96.51237507,96.51237507,96.51237507,0,0,0
n802,43.2079,-89.3306,-15.21852475,-24.22356009,-19.1730574,0,0,0,0,797.4459781,-13.84771647,-20.57540108,-15.92214577,-17.16869936,-17.15175444,-12.59611764,97.44597807,97.44597807,97.44597807,0,0,0
n803,43.2146,-89.4906,-17.09878925,-23.65158956,-18.53668104,0,0,0,0,797.2427916,-15.92664038,-23.8807761,-18.70231895,-16.43894623,-16.85254345,-12.3032743,97.24279161,97.24279161,97.24279161,0,0,0
n804,43.2094,-89.4043,-15.81044589,-22.52112744,-17.70404651,0,0,0,0,797.5874163,-14.96163528,-22.34883692,-17.54878615,-16.74250742,-17.35194336,-12.44387285,97.58741631,97.58741631,97.58741631,0,0,0
n805,43.2109,-89.3905,-15.92168883,-22.85713337,-18.04050697,0,0,0,0,797.5572734,-14.7706096,-22.01237798,-17.21232721,-16.88711563,-17.33450301,-12.44938541,97.55727345,97.55727345,97.55727345,0,0,0
n806,43.2047,-89.2987,-15.34685478,-24.20006232,-19.0035898,0,0,0,0,797.321054,-13.32762561,-19.80266914,-15.38592484,-17.1673063,-17.09052122,-12.55637746,97.321054,97.321054,97.321054,0,0,0
n807,43.2044,-89.2906,-15.52687433,-24.00620336,-18.8393047,0,0,0,0,797.2723961,-13.19565396,-19.6065905,-15.21991768,-17.06271503,-16.98592995,-12.53885501,97.2723961,97.2723961,97.2723961,0,0,0
n808,43.2183,-89.572,-17.26740644,-23.56102452,-19.35011025,0,0,0,0,796.6143565,-15.68889396,-23.28144794,-18.21065351,-16.79269453,-16.49940558,-11.96953579,96.61435651,96.61435651,96.61435651,0,0,0
n809,43.2136,-89.4576,-16.44996313,-23.1217116,-18.13400435,0,0,0,0,797.409151,-15.8497615,-23.54996619,-18.39046561,-16.55880371,-17.06871101,-12.51824596,97.40915097,97.40915097,97.40915097,0,0,0
n810,43.217,-89.5475,-17.11676477,-23.66043471,-18.84406785,0,0,0,0,796.8297104,-15.94750741,-23.69519348,-18.4742538,-16.67943152,-16.66950984,-12.12412614,96.82971035,96.82971035,96.82971035,0,0,0
n811,43.2089,-89.3991,-15.86178224,-22.64152752,-17.82358291,0,-0.053379244,-0.053379244,-0.053379244,797.5964304,-14.98648842,-22.22843837,-17.4283876,-16.79431524,-17.36307722,-12.43512052,97.59643043,97.59643043,97.59643043,-0.053379244,-0.053379244,-0.053379244
