time,demand,com_gens,started,off,gen_m,gen_p,gen_tot,D_shed
207.5,9738.841740093198,10.0,0.0,0.0,8.400000000000002,10712.725914102502,10721.125914102502,8.305885305765597e-12
207.75,9811.927705524466,10.0,0.0,0.0,8.400000000000002,10793.120476076901,10801.520476076901,1.2571616608195076e-11
208.0,9885.013670955737,10.0,0.0,0.0,8.400000000000011,10873.515038051299,10881.915038051298,1.0361299796831439e-11
208.25,9963.33718387932,10.0,0.0,0.0,119.99340839196714,10959.670902267238,11079.664310659206,5.922373702560435e-12
208.5,10036.423149310589,10.0,0.0,0.0,8.40000000000001,11040.065464241632,11048.465464241632,1.0355970726313238e-11
208.75,10101.410911629302,10.0,0.0,0.0,8.400000000000013,11111.552002792218,11119.952002792217,1.108250067362794e-11
209.0,10166.398673948013,10.0,0.0,0.0,57.68844972929096,11183.038541342807,11240.726991072097,1.3574709299796022e-11
209.25,10236.232427540346,10.0,0.0,0.0,8.40000000000002,11259.855670294306,11268.255670294306,7.835933141114286e-11
209.5,10301.220189859057,13.0,3.0,0.0,33.2,11331.342208845002,11364.542208845003,-4.076671095271673e-11
209.75,10357.047229442089,15.0,2.0,0.0,6.544290135140735,11392.751952386274,11399.296242521415,2.4449396242724606e-11
210.0,10412.87426902512,17.0,2.0,0.0,3.341771304121721e-14,11454.161695927382,11454.161695927382,2.2691499608388636e-10
210.25,10473.386446475333,7.0,0.0,10.0,31.020000000000024,11520.725091122858,11551.745091122859,4.40003589119442e-12
210.5,10529.213486058363,4.0,0.0,3.0,6.220000000000016,11582.134834664188,11588.354834664187,8.809249147337953e-12
210.75,10575.740100906596,2.0,0.0,2.0,35.4164977699365,11633.314110997242,11668.730608767179,6.473044322774513e-12
211.0,10622.266715754824,1.0,0.0,1.0,5.828670879282072e-15,11684.493387330294,11684.493387330294,1.4858632363915506e-11
211.25,10673.548319844798,1.0,0.0,0.0,3.047562202596055e-14,11740.903151829265,11740.903151829265,1.2299494756007334e-11
211.5,10720.074934693028,1.0,0.0,0.0,7.327471962526033e-15,11792.082428162315,11792.082428162315,2.0499453507431e-11
211.75,10757.161422307334,1.0,0.0,0.0,2.886579864025407e-15,11832.877564538057,11832.877564538057,2.1540398615319548e-11
212.0,10794.247909921645,1.0,0.0,0.0,1.4932499681208355e-14,11873.672700913801,11873.672700913801,2.3163988766531377e-11
212.25,10835.830296653117,1.0,0.0,0.0,2.2870594307278225e-14,11919.413326318465,11919.413326318465,-2.359061286106629e-11
212.5,10872.916784267427,6.0,5.0,0.0,1.9817480989559044e-14,11960.208462694414,11960.208462694414,-2.346607367238251e-10
212.75,10900.862030647542,7.0,1.0,0.0,2.8199664825478976e-14,11990.948233712244,11990.948233712244,5.133937575776297e-11
213.0,10928.807277027658,9.0,2.0,0.0,9.43689570931383e-16,12021.688004729895,12021.688004729895,5.319327186575007e-10
