node,product,amount(tonne/week),time
dairy067,p3,2.456512260000018,1
dairy067,p3,49.65000000000001,2
dairy067,p3,2.456512260000018,6
dairy067,p3,49.65000000000001,7
dairy067,p3,47.193487739999995,9
dairy067,p3,2.456512260000018,10
dairy067,p3,49.65000000000001,11
dairy067,p3,47.193487739999995,13
dairy067,p3,49.65000000000001,14
dairy067,p3,2.4825000000000004,15
dairy078,p2,31.875000000000007,2
dairy078,p2,31.875000000000007,5
dairy078,p2,31.875000000000007,6
dairy078,p2,31.875000000000007,7
dairy078,p2,31.875000000000007,9
dairy078,p2,31.875000000000007,12
dairy078,p2,31.875000000000007,14
dairy078,p2,1.5937500000000004,15
dairy078,p3,31.875000000000007,2
dairy078,p3,31.875000000000007,6
dairy078,p3,31.875000000000007,7
dairy078,p3,31.875000000000007,9
dairy078,p3,31.875000000000007,10
dairy078,p3,31.875000000000007,12
dairy078,p3,31.875000000000007,13
dairy078,p3,31.875000000000007,14
dairy078,p3,1.5937500000000004,15
dairy082,p2,2193.53831337,1
dairy082,p2,2450.20462674,2
dairy082,p2,2670.2043239100003,3
dairy082,p2,2890.2040210800005,4
dairy082,p2,1980.4863213517542,5
dairy082,p2,1070.768621623508,6
dairy082,p2,1290.768318793508,7
dairy082,p2,1510.7680159635079,8
dairy082,p2,1730.7677131335079,9
dairy082,p2,821.0500134052616,10
dairy082,p2,219.99969717,12
dairy082,p2,197.64000000000007,15
dairy082,p3,2007.6622316100002,1
dairy082,p3,2078.45246322,2
dairy082,p3,855.2447824050904,3
dairy082,p3,926.0350140150904,4
dairy082,p3,996.8252456250904,5
dairy082,p3,1067.6154772350903,6
dairy082,p3,1138.4057088450904,7
dairy082,p3,1209.1959404550905,8
dairy082,p3,1279.9861720650906,9
dairy082,p3,1350.7764036750907,10
dairy082,p3,1421.5666352850908,11
dairy082,p3,1492.356866895091,12
dairy082,p3,1563.147098505091,13
dairy082,p3,1633.937330115091,14
dairy082,p3,197.64000000000007,15
dairy091,p2,216.19376268,1
dairy091,p2,336.45000000000005,2
dairy091,p2,336.45000000000005,3
dairy091,p2,336.45000000000005,4
dairy091,p2,285.11673732,5
dairy091,p2,336.45000000000005,6
dairy091,p2,51.33326268,8
dairy091,p2,102.66652536,9
dairy091,p2,153.99978804,10
dairy091,p2,205.33305072,11
dairy091,p2,256.6663134,12
dairy091,p2,51.33326268,14
dairy091,p2,16.822500000000005,15
dairy091,p3,319.93227929100004,1
dairy091,p3,336.45000000000005,2
dairy091,p3,319.93227929100004,3
dairy091,p3,336.45000000000005,4
dairy091,p3,16.517720709000002,6
dairy091,p3,33.035441418000005,7
dairy091,p3,49.55316212700001,8
dairy091,p3,66.07088283600001,9
dairy091,p3,82.58860354500001,10
dairy091,p3,99.10632425400001,11
dairy091,p3,115.62404496300002,12
dairy091,p3,101.05159098364295,13
dairy091,p3,117.56931169264296,14
dairy091,p3,16.822500000000005,15
dairy094,p2,5160.129660220364,1
dairy094,p2,5643.872739500727,2
dairy094,p2,5558.8394688879225,3
dairy094,p2,4643.878848658442,4
dairy094,p2,4096.612469935367,5
dairy094,p2,2801.1394084310286,6
dairy094,p2,2253.8730297079537,7
dairy094,p2,1706.606650984879,8
dairy094,p2,411.1335894805409,9
dairy094,p2,205.56679474027044,10
dairy094,p2,36.66661620000001,13
dairy094,p2,73.33323240000001,14
dairy094,p3,4841.055347415,1
dairy094,p3,4947.24069483,2
dairy094,p3,3489.046041903324,3
dairy094,p3,3500.844413838324,4
dairy094,p3,3512.642785773324,5
dairy094,p3,3524.4411577083238,6
dairy094,p3,3257.2684343250917,7
dairy094,p3,3269.0668062600917,8
dairy094,p3,3280.8651781950916,9
dairy094,p3,3292.6635501300916,10
dairy094,p3,2728.172989023952,11
dairy094,p3,1752.5707019666772,12
dairy094,p3,1764.3690739016772,13
dairy094,p3,471.35162806500017,14
dairy094,p3,483.15000000000015,15
dairy095,p2,2485.59626931,1
dairy095,p2,2925.59566362,2
dairy095,p2,3218.9285931599998,3
dairy095,p2,2571.540680350201,4
dairy095,p2,1924.1527675404043,5
dairy095,p2,1276.7648547306055,6
dairy095,p2,1294.7758256195975,7
dairy095,p2,647.3879128097988,8
dairy095,p2,293.33292954,10
dairy095,p2,23.008271661202116,12
dairy095,p2,316.3412012012021,13
dairy095,p2,609.6741307412021,14
dairy095,p3,2328.7578014399996,1
dairy095,p3,2611.9187278799996,2
dairy095,p3,2706.3057033599994,3
dairy095,p3,2800.692678839999,4
dairy095,p3,2895.079654319999,5
dairy095,p3,2989.466629799999,6
dairy095,p3,2312.2465048188405,7
dairy095,p3,2406.6334802988404,8
dairy095,p3,2501.02045577884,9
dairy095,p3,1186.8320984216768,10
dairy095,p3,1281.219073901677,11
dairy095,p3,1375.606049381677,12
dairy098,p2,795.5836866600002,1
dairy098,p2,1052.2500000000002,2
