WARNING: using JuMP.getdual in module Main conflicts with an existing identifier.
  [nonlinear] <nonlin>: ((1.000000 * <_var0_>) + (1.000000 * <_var1_>) + (1.000000 * <_var2_>) + (1.000000 * <_var3_>)) == 8;
violation: left hand side is violated by 8 (scaled: 8)
all 1 solutions given by solution candidate storage are infeasible

presolving:
(round 1, fast)       0 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 1397 upgd conss, 0 impls, 0 clqs
(round 2, fast)       0 del vars, 250 del conss, 0 add conss, 3234 chg bounds, 0 chg sides, 0 chg coeffs, 1397 upgd conss, 0 impls, 0 clqs
(round 3, exhaustive) 0 del vars, 495 del conss, 0 add conss, 3234 chg bounds, 0 chg sides, 0 chg coeffs, 1397 upgd conss, 0 impls, 0 clqs
presolving (4 rounds: 4 fast, 2 medium, 2 exhaustive):
 0 deleted vars, 495 deleted constraints, 0 added constraints, 3234 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 1906 variables (0 bin, 0 int, 0 impl, 1906 cont) and 902 constraints
    901 constraints of type <linear>
      1 constraints of type <quadratic>
Presolving Time: 2.06

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   841 |     - |9108k| 3.614750e+05 |      --      |    Inf 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

  12900 | 12901 | 58309 |   4.5 |1232M| 3.820507e+05 | 6.386830e+05 |  67.17%
  13000 | 13001 | 58718 |   4.5 |1237M| 3.821003e+05 | 6.386830e+05 |  67.15%
  13100 | 13101 | 59124 |   4.4 |1242M| 3.821003e+05 | 6.386830e+05 |  67.15%
  13200 | 13201 | 59544 |   4.4 |1247M| 3.821027e+05 | 6.386830e+05 |  67.15%
  13300 | 13301 | 59935 |   4.4 |1252M| 3.821027e+05 | 6.386830e+05 |  67.15%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
  13400 | 13401 | 60286 |   4.4 |1257M| 3.821027e+05 | 6.386830e+05 |  67.15%
  13500 | 13501 | 60643 |   4.4 |1262M| 3.821140e+05 | 6.386830e+05 |  67.14%
  13600 | 13601 | 61015 |   4.4 |1267M| 3.821190e+05 | 6.386830e+05 |  67.14%
  13700 | 13701 | 61367 |   4.4 |1272M| 3.821382e+05 | 6.386830e+05 |  67.13%
  13800 | 13801 | 61713 |   4.4 |1277M| 3.821382e+05 | 6.386830e+05 |  67.13%
  13900 | 13901 | 62073 |   4.4 |1282M| 3.821627e+05 | 6.386830e+05 |  67.12%
  14000 | 14001 | 62444 |   4.4 |1287M| 3.821627e+05 | 6.386830e+05 |  67.12%
  14100 | 14101 | 62804 |   4.4 |1292M| 3.821627e+05 | 6.386830e+05 |  67.12%
  14200 | 14201 | 63189 |   4.4 |1297M| 3.821899e+05 | 6.386830e+05 |  67.11%
  14300 | 14301 | 63552 |   4.4 |1302M| 3.821899e+05 | 6.386830e+05 |  67.11%
  14400 | 14401 | 63908 |   4.4 |1307M| 3.821899e+05 | 6.386830e+05 |  67.11%
  14500 | 14501 | 64289 |   4.4 |1312M| 3.822248e+05 | 6.386830e+05 |  67.10%
  14600 | 14601 | 64644 |   4.4 |1317M| 3.822248e+05 | 6.386830e+05 |  67.10%
  14700 | 14701 | 65042 |   4.4 |1322M| 3.823606e+05 | 6.386830e+05 |  67.04%
  14800 | 14801 | 65399 |   4.4 |1327M| 3.823606e+05 | 6.386830e+05 |  67.04%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
  14900 | 14901 | 65763 |   4.4 |1332M| 3.824576e+05 | 6.386830e+05 |  66.99%
  15000 | 15001 | 66126 |   4.4 |1337M| 3.824576e+05 | 6.386830e+05 |  66.99%
  15100 | 15101 | 66494 |   4.3 |1343M| 3.824576e+05 | 6.386830e+05 |  66.99%
  15200 | 15201 | 66894 |   4.3 |1463M| 3.824978e+05 | 6.386830e+05 |  66.98%
  15300 | 15301 | 67240 |   4.3 |1468M| 3.825010e+05 | 6.386830e+05 |  66.98%
  15400 | 15401 | 67611 |   4.3 |1473M| 3.825290e+05 | 6.386830e+05 |  66.96%
  15500 | 15501 | 67989 |   4.3 |1478M| 3.825383e+05 | 6.386830e+05 |  66.96%
  15600 | 15601 | 68346 |   4.3 |1483M| 3.825434e+05 | 6.386830e+05 |  66.96%
  15700 | 15701 | 68694 |   4.3 |1488M| 3.825434e+05 | 6.386830e+05 |  66.96%
  15800 | 15801 | 69057 |   4.3 |1493M| 3.825434e+05 | 6.386830e+05 |  66.96%
  15900 | 15901 | 69414 |   4.3 |1498M| 3.825434e+05 | 6.386830e+05 |  66.96%
  16000 | 16001 | 69776 |   4.3 |1503M| 3.825434e+05 | 6.386830e+05 |  66.96%
  16100 | 16101 | 70148 |   4.3 |1508M| 3.825434e+05 | 6.386830e+05 |  66.96%
  16200 | 16201 | 70502 |   4.3 |1513M| 3.825434e+05 | 6.386830e+05 |  66.96%
  16300 | 16301 | 70862 |   4.3 |1518M| 3.825434e+05 | 6.386830e+05 |  66.96%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
  16400 | 16401 | 71217 |   4.3 |1523M| 3.825434e+05 | 6.386830e+05 |  66.96%
