,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n25,-0.021460988791926778,0.19098345654359852,0.19098345654359852,0.0,0.0029194095247342816,0.017721956505872674,0.0029194095247342816,801.2338254600689,-0.01946098879192678,0.1654241208047875,0.07540947297702094,1.2426143311190778,0.903706746557963,0.9859674720705034,101.02133906186386,101.20877287900487,101.13836889309503,0.19679813262358672,0.12775850556588383,0.0940310332907514,
n26,-0.056691652118290914,0.17492300493446272,0.17492300493446272,0.0,-0.013141042084401547,0.0016615048967368456,-0.013141042084401547,801.1921753598792,-0.05469165211829091,0.21802469151028198,0.10876570379865702,1.2658825855636,0.9031188477098447,0.9853795732223851,101.04939269957346,101.21319557976067,101.14547430912674,0.18073768101445092,0.11169805395674802,0.07797058168161557,
n27,-0.1178121094183284,0.10050202222451174,0.18790414738517527,0.0,0.0762886337083942,0.09109118068953256,0.0762886337083942,801.1756796465922,-0.1158121094183284,0.18151420931588513,-0.08884029152209436,1.2350210154502788,0.8513379333418005,0.9335986588543412,101.01604230549555,101.26704813873633,101.1966441528265,0.20368465244590728,0.14108385144189017,0.3218610614154931,
n28,-0.12331850471961858,0.1152466549994397,0.1152466549994397,0.0,0.09391156240753296,0.023885992974817638,0.09391156240753296,801.1561114225602,-0.12131850471961858,0.1172466549994397,-0.12131850471961858,1.2103691994680648,0.8665374155842754,0.9942621125363548,101.02678354223255,101.20705743132548,101.09836996843181,0.2124968739768291,0.0864040746528546,0.2973084668455031,
n29,-0.11101888818057211,-0.11101888818057211,-0.11101888818057211,0.0,0.1606157178137136,0.051387960676767847,0.1606157178137136,801.1480892818053,-0.10901888818057211,0.01354003194422243,-0.09054729499057335,1.2849058989746025,0.9848259277982705,1.0711426522283032,101.0882819330204,101.24430919998522,101.1902128357027,0.05862608039225076,0.02987713351538132,0.09759063401890691,
n30,-0.10116399034620333,0.04672620047074466,0.018409155936844696,0.0,0.11117848854445117,0.12243541421924403,0.14771683803000296,801.2211642856727,-0.011636743157430074,0.29811817030540205,0.2059257721147302,1.2385374661916648,0.9613517811159648,1.0864515271833244,101.10260477979143,101.30721596620741,101.20292865134924,0.1504726644499156,0.16747678199039978,0.05482559657882145,
n31,-0.05549633119984568,0.03781894185270765,0.03781894185270765,0.0,0.05814346853705393,0.06940039421184675,0.09468181802260572,801.1961170444389,-0.053496331199845676,0.24508049286255004,0.16793270864546592,1.3040770294883852,0.9410888139323572,1.0661885599997167,101.06770093572136,101.29418032356963,101.22880267476917,0.18797154779302733,0.16400648188317726,0.04114499031715696,
n32,-0.15380415271521283,0.07405869971421947,0.03624237933282751,0.0,0.32992322466885726,0.37373009326747053,0.32992322466885726,801.1176390537815,-0.15180415271521283,0.05346507781242557,-0.06338324448397963,1.2540047531526037,0.9101729692688141,1.0378976662208936,100.97338009137476,101.14457394489087,101.04496651757403,0.18930030489463454,0.06717514570996291,0.27756287928427004,
n33,-0.08635428729040258,0.05178466062530927,0.05178466062530927,0.0,0.08224650223981117,0.09350342791460392,0.1286677986386408,801.0774243825579,-0.08435428729040258,0.05416608640034276,0.06552038526517906,1.2084869868169834,0.8761280460798581,0.9804569911630668,100.9792348839274,101.22420875333248,101.14215284532837,0.19534502292627706,0.23108962803054509,0.08988603278939078,
n34,-0.06346233091656206,0.05437465475445377,0.05437465475445377,0.0,0.043003213583306166,0.05426013925809897,0.07954156306885796,801.1460081960658,-0.06146233091656206,0.2774792570452995,0.11899594827468907,1.293509783088019,0.9752516604058109,1.0556213135993502,101.1201304995627,101.31629408504456,101.19492754675493,0.19049128507754837,0.16652621916769828,0.043664727601678,
n35,-0.11529498043575372,-0.11529498043575372,-0.11529498043575372,0.0,0.1402570199411406,0.15725453096936326,0.1834229258813725,801.2024031462206,-0.023695636857762548,0.11729498043575372,-0.11329498043575371,1.2076349732172071,0.81491123205174,0.8794680852692072,100.89098365758038,101.29271314483681,101.12707525928167,0.060045914395634614,0.08794250214939896,0.12704304606162803,
n36,-0.09350406257374977,0.14686972755758848,-0.09350406257374977,0.0,0.057842056819606746,0.07483956784782941,0.1010079627598387,801.1630206059812,-0.09150406257374977,-0.06826939073447413,-0.06826939073447413,1.1536117804104886,0.751348459317479,1.0052053533432592,100.96011276008164,101.14383993713125,101.0833149809664,-0.059134284481104804,-0.005988496762514506,0.00786284718488861,
n37,-0.11932736457039447,-0.11932736457039447,-0.11932736457039447,0.0,0.08151087504849738,0.09850838607672005,0.11992217882572784,801.2460676367167,-0.11732736457039447,-0.06414694387328108,-0.11732736457039447,1.3074436546723942,0.8879938517190014,0.9801072686941507,100.99165797720148,101.2275040318208,101.1789160930306,-0.03948517382775549,-0.011653304834424894,0.031289220301824405,
n38,-0.05097056469459214,0.1976285704394732,0.1976285704394732,0.0,0.19660356064045156,0.0873758035035058,0.19660356064045156,801.1115592441287,0.04288317379362416,0.1977006063185825,0.10926582826366564,1.2537123658288936,0.927118906503864,1.0304803088460537,101.03645416399917,101.23321771785959,101.22627561364615,0.15785270531300474,0.03177654848870223,0.09845214586504228,
n39,-0.04095513935556324,0.09862464178364833,0.09862464178364833,0.0,0.07759314169269954,0.09459065272092226,0.11600444546993005,801.1393843905614,-0.03895513935556324,0.10209571306090626,0.019975350513174436,1.2499734005695302,0.9118252706517064,1.0433077804646826,101.03182697405354,101.17289328925851,101.14369894546715,0.0863796797464105,0.1343356898844449,0.0935984314597853,
n40,-0.02509254397089492,0.027433737101167,0.11307641736069454,0.0,0.09353120046662952,0.11052871149485186,0.13669710640686092,801.140305645809,-0.02309254397089492,0.18103882706721472,0.1271841738842124,1.2870722185991665,0.9165809258062403,1.085744642788991,101.0399372592972,101.15806512598121,101.06557056505451,0.04289925669892432,0.07247423234515422,0.10989638836491779,
n41,-0.0748897694057685,0.014187253637162,0.014187253637162,0.0,0.08835877575750556,0.10316132273864392,0.08835877575750556,801.1049952423501,-0.0728897694057685,0.1112029013887382,0.016187253637162002,1.2945601498245833,0.9259005338794141,1.030133595901239,101.03672677696363,101.2287914945365,101.16680128139626,0.10592978356072363,-0.016526124691850858,0.05056836135889875,
