#1. Env. stakeholder reference,2. Node,3. Time,4. Impact,5. Bid (USD/impact unit),6. Capacity
V0561,N16087,T0,CO2,0.0,Inf
V0562,N17001,T0,CO2,0.0,Inf
V0563,N17003,T0,CO2,0.0,Inf
V0564,N17005,T0,CO2,0.0,Inf
V0565,N17007,T0,CO2,0.0,Inf
V0566,N17009,T0,CO2,0.0,Inf
V0567,N17011,T0,CO2,0.0,Inf
V0568,N17013,T0,CO2,0.0,Inf
V0569,N17015,T0,CO2,0.0,Inf
V0570,N17017,T0,CO2,0.0,Inf
V0571,N17019,T0,CO2,0.0,Inf
V0572,N17021,T0,CO2,0.0,Inf
V0573,N17023,T0,CO2,0.0,Inf
V0574,N17025,T0,CO2,0.0,Inf
V0575,N17027,T0,CO2,0.0,Inf
V0576,N17029,T0,CO2,0.0,Inf
V0577,N17031,T0,CO2,0.0,Inf
V0578,N17033,T0,CO2,0.0,Inf
V0579,N17035,T0,CO2,0.0,Inf
V0580,N17037,T0,CO2,0.0,Inf
V0581,N17039,T0,CO2,0.0,Inf
V0582,N17041,T0,CO2,0.0,Inf
V0583,N17043,T0,CO2,0.0,Inf
V0584,N17045,T0,CO2,0.0,Inf
V0585,N17047,T0,CO2,0.0,Inf
V0586,N17049,T0,CO2,0.0,Inf
V0587,N17051,T0,CO2,0.0,Inf
V0588,N17053,T0,CO2,0.0,Inf
V0589,N17055,T0,CO2,0.0,Inf
V0590,N17057,T0,CO2,0.0,Inf
V0591,N17059,T0,CO2,0.0,Inf
V0592,N17061,T0,CO2,0.0,Inf
V0593,N17063,T0,CO2,0.0,Inf
V0594,N17065,T0,CO2,0.0,Inf
V0595,N17067,T0,CO2,0.0,Inf
V0596,N17069,T0,CO2,0.0,Inf
V0597,N17071,T0,CO2,0.0,Inf
V0598,N17073,T0,CO2,0.0,Inf
V0599,N17075,T0,CO2,0.0,Inf
