id,partition,component
853,1,1
854,1,1
855,1,1
856,5,1
857,5,1
858,5,1
859,5,1
860,5,1
861,5,1
862,5,1
863,5,1
864,5,1
865,12,1
866,12,1
867,10,1
868,10,1
869,10,1
870,10,1
871,10,1
872,10,1
873,10,1
874,7,1
875,7,1
876,7,1
877,7,1
878,7,1
879,7,1
880,7,1
881,7,1
882,8,1
883,8,1
884,8,1
885,8,1
886,8,1
887,8,1
888,8,1
889,12,1
890,12,1
891,12,1
892,10,1
893,10,1
894,10,1
895,10,1
896,10,1
897,10,1
898,10,1
899,7,1
900,7,1
901,7,2
902,7,2
903,7,2
904,7,2
905,7,2
906,8,2
907,8,2
908,8,2
909,8,2
910,8,2
911,8,2
912,8,2
913,12,2
914,12,2
915,12,2
916,12,2
917,10,2
918,10,2
919,10,2
920,10,2
921,10,2
922,10,2
923,10,3
924,7,3
925,7,3
926,7,3
927,7,3
928,7,3
929,7,3
930,8,3
931,8,3
932,8,3
933,8,3
934,8,3
935,8,3
936,8,3
937,12,3
938,12,3
939,12,3
940,12,3
941,12,3
942,12,3
943,10,3
944,10,3
945,10,3
946,10,3
947,10,3
948,10,3
949,7,3
950,7,3
951,7,3
952,7,3
953,7,3
954,7,3
955,8,3
956,8,3
957,8,3
958,8,3
959,8,3
960,8,3
961,0,3
962,0,3
963,0,3
964,0,3
965,0,3
966,0,3
967,1,3
968,1,3
969,1,3
970,1,3
971,1,3
972,1,1
973,1,1
974,5,1
975,5,1
976,5,1
977,5,1
978,5,1
979,5,1
980,5,1
981,5,1
982,5,1
983,5,1
984,3,1
985,11,1
986,11,1
987,2,1
988,2,1
989,2,1
990,11,1
991,2,1
992,2,1
993,2,1
994,4,1
995,4,1
996,9,1
997,4,1
998,4,1
999,4,1
1000,3,1
1001,3,1
1002,9,1
1003,3,1
1004,3,1
1005,6,1
1006,3,1
1007,6,1
1008,3,1
1009,0,1
1010,0,1
1011,2,1
1012,2,1
1013,2,1
1014,2,1
1015,2,1
1016,2,1
1017,2,1
1018,2,1
1019,2,1
1020,4,1
1021,4,1
1022,4,1
1023,4,1
1024,4,1
1025,4,1
1026,4,1
1027,4,1
1028,3,1
1029,3,1
1030,3,1
1031,3,1
1032,3,1
1033,0,1
1034,0,1
1035,0,1
1036,0,1
1037,1,1
1038,1,1
1039,1,1
1040,1,1
1041,1,1
1042,1,1
1043,1,1
1044,1,2
1045,5,2
1046,4,2
1047,4,2
1048,4,2
1049,4,2
1050,4,2
1051,4,2
1052,5,2
1053,5,2
1054,3,2
1055,3,2
1056,3,2
1057,2,2
1058,2,2
1059,2,2
1060,2,2
1061,2,2
1062,2,2
1063,2,2
1064,2,3
1065,2,3
1066,2,3
1067,4,3
1068,4,3
1069,4,3
1070,4,3
1071,4,3
1072,4,3
1073,4,3
1074,3,3
1075,3,3
1076,3,3
1077,3,3
1078,3,3
1079,3,3
1080,3,3
1081,11,3
1082,11,3
1083,11,3
1084,11,3
1085,11,3
1086,11,3
1087,11,3
1088,11,3
1089,11,3
1090,9,3
1091,9,3
1092,9,3
1093,9,3
1094,9,3
1095,9,3
1096,9,3
1097,9,3
1098,6,3
1099,6,3
1100,6,3
1101,6,3
1102,6,3
1103,6,3
1104,6,3
1105,12,3
1106,12,3
1107,12,3
1108,12,3
1109,12,3
1110,12,1
1111,12,1
1112,11,1
1113,9,1
1114,9,1
1115,9,1
1116,9,1
1117,9,1
1118,9,1
1119,6,1
1120,7,1
1121,6,1
1122,7,1
1123,6,1
1124,8,1
1125,8,1
1126,8,1
1127,6,1
1128,6,1
1129,12,1
1130,12,1
1131,12,1
1132,12,1
1133,12,1
1134,12,1
1135,10,1
1136,10,1
1137,10,1
1138,10,1
1139,10,1
1140,10,1
1141,10,1
1142,7,1
1143,7,1
1144,7,1
1145,7,1
1146,7,1
1147,7,1
1148,8,1
1149,8,1
1150,8,1
1151,8,1
1152,8,1
1153,11,1
1154,11,1
1155,11,1
1156,11,1
1157,11,1
1158,11,1
1159,11,1
1160,11,1
1161,11,1
1162,9,1
1163,9,1
1164,9,1
1165,9,1
1166,9,1
1167,9,1
1168,9,1
1169,6,1
1170,6,1
1171,6,1
1172,6,1
1173,6,1
1174,6,1
1175,6,1
1176,6,1
1177,12,1
1178,12,1
1179,12,1
1180,12,2
1181,10,2
1182,10,2
1183,10,2
1184,10,2
1185,10,2
1186,10,2
1187,10,2
1188,7,2
1189,7,2
1190,7,2
1191,7,2
1192,7,2
1193,7,2
1194,8,2
1195,8,2
1196,8,2
1197,8,2
1198,8,2
1199,8,2
1200,8,2
1201,12,3
1202,12,3
1203,12,3
1204,12,3
1205,10,3
1206,10,3
1207,10,3
1208,10,3
1209,10,3
1210,10,3
1211,10,3
1212,7,3
1213,7,3
1214,7,3
1215,7,3
1216,7,3
1217,7,3
1218,8,3
1219,8,3
1220,8,3
1221,8,3
1222,8,3
1223,8,3
1224,8,3
1225,11,3
1226,11,3
1227,11,3
1228,11,3
1229,11,3
1230,11,3
1231,11,3
1232,11,3
1233,11,3
1234,9,3
1235,9,3
1236,9,3
1237,9,3
1238,9,3
1239,9,3
1240,9,3
1241,6,3
1242,6,3
1243,6,3
1244,6,3
1245,6,3
1246,6,3
1247,6,3
1248,6,1
1249,12,1
1250,12,1
1251,12,1
1252,12,1
1253,12,1
1254,12,1
1255,10,1
1256,10,1
1257,10,1
1258,10,1
1259,10,1
1260,10,1
1261,10,1
1262,7,1
1263,7,1
1264,7,1
1265,7,1
1266,7,1
1267,7,1
1268,8,1
1269,8,1
1270,8,1
1271,8,1
1272,8,1
1273,12,1
1274,12,1
1275,12,1
1276,12,1
1277,12,1
1278,12,1
1279,12,1
1280,11,1
1281,9,1
1282,9,1
1283,9,1
1284,9,1
1285,9,1
1286,9,1
1287,6,1
1288,6,1
1289,6,1
1290,6,1
1291,6,1
1292,6,1
1293,6,1
1294,8,1
1295,6,1
1296,6,1
1297,0,1
1298,0,1
1299,0,1
1300,0,1
1301,0,1
1302,0,1
1303,0,1
1304,0,1
1305,0,1
1306,0,1
1307,1,1
1308,1,1
1309,1,1
1310,1,1
1311,1,1
1312,1,1
1313,5,1
1314,5,1
1315,5,1
1316,5,1
1317,5,2
1318,5,2
1319,5,2
1320,5,2
1321,12,2
1322,12,2
1323,12,2
1324,12,2
1325,12,2
1326,12,2
1327,12,2
1328,11,2
1329,9,2
1330,9,2
1331,9,2
1332,9,2
1333,9,2
1334,9,2
1335,6,2
1336,7,2
1337,6,2
1338,7,2
1339,6,2
1340,8,3
1341,8,3
1342,8,3
1343,6,3
1344,6,3
1345,12,3
1346,12,3
1347,12,3
1348,12,3
1349,10,3
1350,10,3
1351,10,3
1352,10,3
1353,10,3
1354,10,3
1355,10,3
1356,7,3
1357,7,3
1358,7,3
1359,7,3
1360,7,3
1361,7,3
1362,8,3
1363,8,3
1364,8,3
1365,8,3
1366,8,3
1367,8,3
1368,8,3
1369,0,3
1370,0,3
1371,0,3
1372,0,3
1373,1,3
1374,1,3
1375,1,3
1376,1,3
1377,1,3
1378,1,3
1379,1,3
1380,1,3
1381,5,3
1382,4,3
1383,4,3
1384,4,3
1385,4,3
1386,4,1
