# 1. Arc ID| 2. Arc first node| 3. Arc second node| 4. Arc capacity|5. Arc length
A00247|NC009|NC245|1.00E+06|156.8489518
A00248|NC010|NC002|1.00E+06|143.7780547
A00249|NC010|NC003|1.00E+06|23.02797855
A00250|NC010|NC004|1.00E+06|323.477474
A00251|NC010|NC005|1.00E+06|322.576458
A00252|NC010|NC006|1.00E+06|328.0611756
A00253|NC010|NC007|1.00E+06|340.1113114
A00254|NC010|NC008|1.00E+06|301.114651
A00255|NC010|NC013|1.00E+06|27.59198317
A00256|NC010|NC015|1.00E+06|12.76330931
A00257|NC010|NC025|1.00E+06|7.867475386
A00258|NC010|NC026|1.00E+06|11.35209673
A00259|NC010|NC029|1.00E+06|314.7393002
A00260|NC010|NC031|1.00E+06|396.9021231
A00261|NC010|NC032|1.00E+06|25.27871275
A00262|NC010|NC034|1.00E+06|29.04429452
A00263|NC010|NC040|1.00E+06|12.41683729
A00264|NC010|NC041|1.00E+06|246.4366501
A00265|NC010|NC042|1.00E+06|284.5893347
A00266|NC010|NC043|1.00E+06|201.4843926
A00267|NC010|NC044|1.00E+06|187.2635712
A00268|NC010|NC045|1.00E+06|204.6580926
A00269|NC010|NC048|1.00E+06|198.5673294
A00270|NC010|NC049|1.00E+06|220.2546069
A00271|NC010|NC050|1.00E+06|202.2672353
A00272|NC010|NC051|1.00E+06|225.1856484
A00273|NC010|NC052|1.00E+06|192.7843308
A00274|NC010|NC054|1.00E+06|157.4878171
A00275|NC010|NC061|1.00E+06|160.5799734
A00276|NC010|NC063|1.00E+06|172.0684785
A00277|NC010|NC064|1.00E+06|182.6783321
A00278|NC010|NC065|1.00E+06|91.62376352
A00279|NC010|NC066|1.00E+06|144.6025445
A00280|NC010|NC068|1.00E+06|110.5412128
A00281|NC010|NC069|1.00E+06|117.2713116
A00282|NC010|NC070|1.00E+06|58.4450886
A00283|NC010|NC071|1.00E+06|316.3697446
A00284|NC010|NC074|1.00E+06|307.2052363
A00285|NC010|NC076|1.00E+06|60.12392511
A00286|NC010|NC080|1.00E+06|101.7402769
A00287|NC010|NC086|1.00E+06|78.03485753
A00288|NC010|NC089|1.00E+06|74.68243668
A00289|NC010|NC090|1.00E+06|293.1901612
A00290|NC010|NC092|1.00E+06|271.5282087
A00291|NC010|NC093|1.00E+06|256.1023908
A00292|NC010|NC095|1.00E+06|109.921261
A00293|NC010|NC097|1.00E+06|91.41303579
A00294|NC010|NC101|1.00E+06|222.2909565
A00295|NC010|NC105|1.00E+06|240.6086146
A00296|NC010|NC106|1.00E+06|247.7388886
A00297|NC010|NC107|1.00E+06|162.9729267
A00298|NC010|NC109|1.00E+06|144.7016808
A00299|NC010|NC110|1.00E+06|137.4718351
A00300|NC010|NC111|1.00E+06|157.431455
A00301|NC010|NC115|1.00E+06|24.67296918
A00302|NC010|NC116|1.00E+06|44.54902766
A00303|NC010|NC120|1.00E+06|41.61383338
A00304|NC010|NC121|1.00E+06|35.33889228
A00305|NC010|NC128|1.00E+06|262.4527379
A00306|NC010|NC130|1.00E+06|247.5065106
A00307|NC010|NC132|1.00E+06|137.5252691
A00308|NC010|NC133|1.00E+06|126.9425017
A00309|NC010|NC136|1.00E+06|24.67822792
A00310|NC010|NC143|1.00E+06|45.43188013
A00311|NC010|NC146|1.00E+06|45.57238102
A00312|NC010|NC150|1.00E+06|31.91808111
A00313|NC010|NC152|1.00E+06|157.4688003
A00314|NC010|NC154|1.00E+06|168.6299409
A00315|NC010|NC157|1.00E+06|185.9767209
A00316|NC010|NC158|1.00E+06|116.6570239
A00317|NC010|NC160|1.00E+06|121.7656255
A00318|NC010|NC161|1.00E+06|147.9502395
A00319|NC010|NC162|1.00E+06|87.10685207
A00320|NC010|NC166|1.00E+06|126.7529171
A00321|NC010|NC167|1.00E+06|210.6889295
A00322|NC010|NC168|1.00E+06|232.0021388
A00323|NC010|NC173|1.00E+06|59.32415367
A00324|NC010|NC174|1.00E+06|77.82435473
A00325|NC010|NC175|1.00E+06|41.66486576
A00326|NC010|NC179|1.00E+06|63.97672702
A00327|NC010|NC189|1.00E+06|309.3753103
A00328|NC010|NC190|1.00E+06|340.6754062
A00329|NC010|NC192|1.00E+06|366.5030512
A00330|NC010|NC193|1.00E+06|374.5365998
A00331|NC010|NC194|1.00E+06|107.7375406
A00332|NC010|NC195|1.00E+06|235.2198525
A00333|NC010|NC196|1.00E+06|223.4522324
A00334|NC010|NC197|1.00E+06|208.0714432
A00335|NC010|NC198|1.00E+06|209.9666596
A00336|NC010|NC199|1.00E+06|296.6412656
A00337|NC010|NC200|1.00E+06|44.64029213
A00338|NC010|NC201|1.00E+06|56.01345969
A00339|NC010|NC202|1.00E+06|74.18253475
A00340|NC010|NC203|1.00E+06|112.9468506
A00341|NC010|NC205|1.00E+06|101.4447644
A00342|NC010|NC206|1.00E+06|56.03220602
A00343|NC010|NC207|1.00E+06|52.46720137
A00344|NC010|NC213|1.00E+06|64.30204846
A00345|NC010|NC215|1.00E+06|83.72957369
A00346|NC010|NC216|1.00E+06|355.2410077
A00347|NC010|NC217|1.00E+06|359.6175161
A00348|NC010|NC219|1.00E+06|345.9067074
A00349|NC010|NC220|1.00E+06|268.9471973
A00350|NC010|NC222|1.00E+06|270.8003728
A00351|NC010|NC223|1.00E+06|277.169061
A00352|NC010|NC224|1.00E+06|222.2218929
A00353|NC010|NC227|1.00E+06|229.8753785
A00354|NC010|NC228|1.00E+06|177.9628764
A00355|NC010|NC229|1.00E+06|195.5133778
A00356|NC010|NC230|1.00E+06|203.9545751
A00357|NC010|NC231|1.00E+06|348.41738
A00358|NC010|NC233|1.00E+06|92.1313183
A00359|NC010|NC234|1.00E+06|105.5144194
A00360|NC010|NC236|1.00E+06|59.4630428
A00361|NC010|NC237|1.00E+06|70.9619551
A00362|NC010|NC238|1.00E+06|78.24934052
A00363|NC010|NC240|1.00E+06|80.14799852
A00364|NC010|NC241|1.00E+06|57.40396805
A00365|NC010|NC242|1.00E+06|23.08292878
A00366|NC010|NC243|1.00E+06|66.25136143
