1. Node ID,2. Node Name,3. Node Longitude,4.Node Latitude
524,Blaine County,-114.299016,43.548124
525,Boise County,-115.985316,43.90651
526,Bonner County,-116.630197,48.23649
527,Bonneville County,-111.994434,43.494825
528,Boundary County,-116.302645,48.710599
529,Butte County,-113.30219,43.697316
530,Camas County,-114.754454,43.352907
531,Canyon County,-116.625046,43.612485
532,Caribou County,-111.652123,42.646162
533,Cassia County,-113.747762,42.487358
534,Clark County,-112.262134,44.194725
535,Clearwater County,-116.190755,46.489093
536,Custer County,-114.096283,44.280306
537,Elmore County,-115.685056,43.117658
538,Franklin County,-111.871828,42.098212
539,Fremont County,-111.616883,44.012878
540,Gem County,-116.507732,43.883064
541,Gooding County,-114.750399,42.853491
542,Idaho County,-116.105519,45.972026
543,Jefferson County,-111.959043,43.68709
544,Jerome County,-114.464966,42.699506
545,Kootenai County,-116.837402,47.738595
546,Latah County,-116.934836,46.742589
547,Lemhi County,-113.86099,45.130443
548,Lewis County,-116.264039,46.237559
549,Lincoln County,-114.333319,42.971703
550,Madison County,-111.793855,43.819187
551,Minidoka County,-113.712634,42.611171
552,Nez Perce County,-116.952097,46.393945
553,Oneida County,-112.295487,42.18223
554,Owyhee County,-116.704658,43.393385
555,Payette County,-116.893339,44.019562
556,Power County,-112.827325,42.774583
557,Shoshone County,-116.091781,47.514916
558,Teton County,-111.122065,43.692414
559,Twin Falls County,-114.499626,42.56026
560,Valley County,-116.074739,44.766234
561,Washington County,-116.92098,44.29827
562,Adams County,-91.327397,39.943853
563,Alexander County,-89.294878,37.152943
564,Bond County,-89.432041,38.884765
565,Boone County,-88.852137,42.294302
566,Brown County,-90.747509,39.966021
567,Bureau County,-89.420549,41.382406
568,Calhoun County,-90.638209,39.122999
569,Carroll County,-89.969163,42.067256
570,Cass County,-90.320947,39.98041
571,Champaign County,-88.23646,40.126856
572,Christian County,-89.254079,39.525376
573,Clark County,-87.796198,39.351511
574,Clay County,-88.49181,38.715726
575,Clinton County,-89.485747,38.588708
576,Coles County,-88.264625,39.487996
577,Cook County,-87.757998,41.869515
578,Crawford County,-87.750005,39.004797
579,Cumberland County,-88.280686,39.275024
580,DeKalb County,-88.726804,41.927566
581,De Witt County,-88.911355,40.170876
582,Douglas County,-88.280371,39.766979
583,DuPage County,-88.071268,41.848928
584,Edgar County,-87.713766,39.636396
585,Edwards County,-88.041233,38.401606
586,Effingham County,-88.573292,39.095854
587,Fayette County,-89.033955,38.995881
588,Ford County,-88.219432,40.521655
589,Franklin County,-88.953694,37.963987
590,Fulton County,-90.116575,40.524812
591,Gallatin County,-88.239193,37.772903
592,Greene County,-90.371192,39.368918
593,Grundy County,-88.344624,41.34999
594,Hamilton County,-88.558979,38.091614
595,Hancock County,-91.202357,40.425023
596,Hardin County,-88.295955,37.478271
597,Henderson County,-90.944727,40.824767
598,Henry County,-90.1358,41.350891
599,Iroquois County,-87.838453,40.762253
600,Jackson County,-89.277101,37.750199
601,Jasper County,-88.162638,39.003923
602,Jefferson County,-88.911598,38.311195
603,Jersey County,-90.319327,39.075249
604,Jo Daviess County,-90.308466,42.411305
605,Johnson County,-88.876484,37.470122
606,Kane County,-88.33542,41.928443
607,Kankakee County,-87.851699,41.150459
608,Kendall County,-88.375603,41.66076
609,Knox County,-90.327754,40.937986
610,Lake County,-87.970527,42.311645
611,LaSalle County,-88.895139,41.354304
612,Lawrence County,-87.745966,38.718154
613,Lee County,-89.401894,41.812143
614,Livingston County,-88.576241,40.90184
615,Logan County,-89.361411,40.141565
616,McDonough County,-90.667814,40.469965
617,McHenry County,-88.351365,42.270305
618,McLean County,-88.953797,40.493799
619,Macon County,-88.946554,39.850646
620,Macoupin County,-89.877091,39.191697
621,Madison County,-90.012645,38.801004
622,Marion County,-89.016141,38.590624
623,Marshall County,-89.316199,41.043266
624,Mason County,-89.899393,40.286175
625,Massac County,-88.717761,37.18088
626,Menard County,-89.799159,39.996935
627,Mercer County,-90.686612,41.214503
628,Monroe County,-90.171982,38.362245
629,Montgomery County,-89.507428,39.198374
630,Morgan County,-90.22838,39.717059
631,Moultrie County,-88.612657,39.631716
632,Ogle County,-89.25403,42.028664
633,Peoria County,-89.639949,40.746692
634,Perry County,-89.3224,38.057689
635,Piatt County,-88.581901,40.008986
636,Pike County,-90.861323,39.621897
637,Pope County,-88.555783,37.400771
638,Pulaski County,-89.130564,37.198544
639,Putnam County,-89.2681,41.230538
640,Randolph County,-89.809741,38.061445
641,Richland County,-88.08785,38.725443
642,Rock Island County,-90.502512,41.489119
643,St. Clair County,-89.990225,38.548186
644,Saline County,-88.538134,37.753419
645,Sangamon County,-89.654882,39.771106
646,Schuyler County,-90.568789,40.130099
647,Scott County,-90.461992,39.645952
648,Shelby County,-88.800594,39.399379
649,Stark County,-89.791981,41.098391
650,Stephenson County,-89.643639,42.324957
651,Tazewell County,-89.530221,40.605153
652,Union County,-89.234288,37.469028
653,Vermilion County,-87.655499,40.151056
654,Wabash County,-87.788862,38.431889
655,Warren County,-90.636753,40.890671
656,Washington County,-89.395405,38.360726
657,Wayne County,-88.421765,38.408213
658,White County,-88.196465,38.088921
659,Whiteside County,-89.82525,41.781958
660,Will County,-88.058558,41.565502
661,Williamson County,-88.976636,37.754392
662,Winnebago County,-89.060442,42.308321
663,Woodford County,-89.29163,40.76916
664,Adams County,-84.934318,40.749532
665,Allen County,-85.125233,41.100842
666,Bartholomew County,-85.905294,39.215015
667,Benton County,-87.291866,40.576258
668,Blackford County,-85.345621,40.468109
669,Boone County,-86.383249,40.004643
670,Brown County,-86.208688,39.236665
671,Carroll County,-86.601213,40.579184
672,Cass County,-86.338974,40.747129
673,Clark County,-85.732548,38.373412
674,Clay County,-87.123964,39.469332
675,Clinton County,-86.513556,40.297795
676,Crawford County,-86.422116,38.315739
677,Daviess County,-87.096158,38.697526
678,Dearborn County,-84.920533,39.14676
679,Decatur County,-85.493081,39.320693
680,DeKalb County,-85.034535,41.377157
681,Delaware County,-85.402908,40.20524
682,Dubois County,-86.915674,38.35868
683,Elkhart County,-85.905688,41.637245
684,Fayette County,-85.147252,39.64037
685,Floyd County,-85.857888,38.32223
686,Fountain County,-87.274375,40.14941
687,Franklin County,-85.070967,39.398519
688,Fulton County,-86.217151,41.059339
689,Gibson County,-87.549447,38.305848
690,Grant County,-85.644184,40.525256
691,Greene County,-86.994152,39.052523
692,Hamilton County,-86.057612,40.001506
693,Hancock County,-85.829626,39.815247
694,Harrison County,-86.098168,38.234174
695,Hendricks County,-86.41108,39.773147
696,Henry County,-85.403738,39.928844
697,Howard County,-86.133562,40.470296
698,Huntington County,-85.486182,40.869855
699,Jackson County,-85.936294,38.928711
700,Jasper County,-87.150606,41.082454
701,Jay County,-85.028696,40.430767
702,Jefferson County,-85.433151,38.758699
703,Jennings County,-85.649705,39.005508
704,Johnson County,-86.115187,39.555913
705,Knox County,-87.454832,38.699306
706,Kosciusko County,-85.830509,41.267835
707,LaGrange County,-85.467264,41.632874
708,Lake County,-87.407505,41.518998
709,LaPorte County,-86.791226,41.632279
710,Lawrence County,-86.495942,38.847818
711,Madison County,-85.7088,40.113496
712,Marion County,-86.136268,39.788896
713,Marshall County,-86.272256,41.347653
714,Martin County,-86.850513,38.679659
715,Miami County,-86.076111,40.729384
716,Monroe County,-86.53857,39.162275
