#1. Demand ID,2. Node ID,3. Time,4. Product,5. Bid,6. Capacity,7. Emissions,8. Emissions coefficients
D00259,N08085,T0,Recyclables,0.0,10000000,,
D00260,N08087,T0,Recyclables,0.0,10000000,,
D00261,N08089,T0,Recyclables,0.0,10000000,,
D00262,N08091,T0,Recyclables,0.0,10000000,,
D00263,N08093,T0,Recyclables,0.0,10000000,,
D00264,N08095,T0,Recyclables,0.0,10000000,,
D00265,N08097,T0,Recyclables,0.0,10000000,,
D00266,N08099,T0,Recyclables,0.0,10000000,,
D00267,N08101,T0,Recyclables,0.0,10000000,,
D00268,N08103,T0,Recyclables,0.0,10000000,,
D00269,N08105,T0,Recyclables,0.0,10000000,,
D00270,N08107,T0,Recyclables,0.0,10000000,,
D00271,N08109,T0,Recyclables,0.0,10000000,,
D00272,N08111,T0,Recyclables,0.0,10000000,,
D00273,N08113,T0,Recyclables,0.0,10000000,,
D00274,N08115,T0,Recyclables,0.0,10000000,,
D00275,N08117,T0,Recyclables,0.0,10000000,,
D00276,N08119,T0,Recyclables,0.0,10000000,,
D00277,N08121,T0,Recyclables,0.0,10000000,,
D00278,N08123,T0,Recyclables,0.0,10000000,,
D00279,N08125,T0,Recyclables,0.0,10000000,,
D00280,N09001,T0,Recyclables,0.0,10000000,,
D00281,N09003,T0,Recyclables,0.0,10000000,,
D00282,N09005,T0,Recyclables,0.0,10000000,,
D00283,N09007,T0,Recyclables,0.0,10000000,,
D00284,N09009,T0,Recyclables,0.0,10000000,,
D00285,N09011,T0,Recyclables,0.0,10000000,,
D00286,N09013,T0,Recyclables,0.0,10000000,,
D00287,N09015,T0,Recyclables,0.0,10000000,,
D00288,N10001,T0,Recyclables,0.0,10000000,,
D00289,N10003,T0,Recyclables,0.0,10000000,,
D00290,N10005,T0,Recyclables,0.0,10000000,,
D00291,N11001,T0,Recyclables,0.0,10000000,,
D00292,N12001,T0,Recyclables,0.0,10000000,,
D00293,N12003,T0,Recyclables,0.0,10000000,,
D00294,N12005,T0,Recyclables,0.0,10000000,,
D00295,N12007,T0,Recyclables,0.0,10000000,,
D00296,N12009,T0,Recyclables,0.0,10000000,,
D00297,N12011,T0,Recyclables,0.0,10000000,,
D00298,N12013,T0,Recyclables,0.0,10000000,,
D00299,N12015,T0,Recyclables,0.0,10000000,,
D00300,N12017,T0,Recyclables,0.0,10000000,,
D00301,N12019,T0,Recyclables,0.0,10000000,,
D00302,N12021,T0,Recyclables,0.0,10000000,,
D00303,N12023,T0,Recyclables,0.0,10000000,,
D00304,N12027,T0,Recyclables,0.0,10000000,,
D00305,N12029,T0,Recyclables,0.0,10000000,,
D00306,N12031,T0,Recyclables,0.0,10000000,,
D00307,N12033,T0,Recyclables,0.0,10000000,,
D00308,N12035,T0,Recyclables,0.0,10000000,,
D00309,N12037,T0,Recyclables,0.0,10000000,,
D00310,N12039,T0,Recyclables,0.0,10000000,,
D00311,N12041,T0,Recyclables,0.0,10000000,,
D00312,N12043,T0,Recyclables,0.0,10000000,,
D00313,N12045,T0,Recyclables,0.0,10000000,,
D00314,N12047,T0,Recyclables,0.0,10000000,,
D00315,N12049,T0,Recyclables,0.0,10000000,,
D00316,N12051,T0,Recyclables,0.0,10000000,,
D00317,N12053,T0,Recyclables,0.0,10000000,,
D00318,N12055,T0,Recyclables,0.0,10000000,,
D00319,N12057,T0,Recyclables,0.0,10000000,,
D00320,N12059,T0,Recyclables,0.0,10000000,,
D00321,N12061,T0,Recyclables,0.0,10000000,,
D00322,N12063,T0,Recyclables,0.0,10000000,,
D00323,N12065,T0,Recyclables,0.0,10000000,,
D00324,N12067,T0,Recyclables,0.0,10000000,,
D00325,N12069,T0,Recyclables,0.0,10000000,,
D00326,N12071,T0,Recyclables,0.0,10000000,,
D00327,N12073,T0,Recyclables,0.0,10000000,,
D00328,N12075,T0,Recyclables,0.0,10000000,,
D00329,N12077,T0,Recyclables,0.0,10000000,,
D00330,N12079,T0,Recyclables,0.0,10000000,,
D00331,N12081,T0,Recyclables,0.0,10000000,,
D00332,N12083,T0,Recyclables,0.0,10000000,,
D00333,N12085,T0,Recyclables,0.0,10000000,,
D00334,N12086,T0,Recyclables,0.0,10000000,,
D00335,N12087,T0,Recyclables,0.0,10000000,,
D00336,N12089,T0,Recyclables,0.0,10000000,,
D00337,N12091,T0,Recyclables,0.0,10000000,,
D00338,N12093,T0,Recyclables,0.0,10000000,,
D00339,N12095,T0,Recyclables,0.0,10000000,,
D00340,N12097,T0,Recyclables,0.0,10000000,,
D00341,N12099,T0,Recyclables,0.0,10000000,,
D00342,N12101,T0,Recyclables,0.0,10000000,,
D00343,N12103,T0,Recyclables,0.0,10000000,,
D00344,N12105,T0,Recyclables,0.0,10000000,,
D00345,N12107,T0,Recyclables,0.0,10000000,,
D00346,N12109,T0,Recyclables,0.0,10000000,,
D00347,N12111,T0,Recyclables,0.0,10000000,,
D00348,N12113,T0,Recyclables,0.0,10000000,,
D00349,N12115,T0,Recyclables,0.0,10000000,,
D00350,N12117,T0,Recyclables,0.0,10000000,,
D00351,N12119,T0,Recyclables,0.0,10000000,,
D00352,N12121,T0,Recyclables,0.0,10000000,,
D00353,N12123,T0,Recyclables,0.0,10000000,,
D00354,N12125,T0,Recyclables,0.0,10000000,,
D00355,N12127,T0,Recyclables,0.0,10000000,,
D00356,N12129,T0,Recyclables,0.0,10000000,,
D00357,N12131,T0,Recyclables,0.0,10000000,,
D00358,N12133,T0,Recyclables,0.0,10000000,,
D00359,N13001,T0,Recyclables,0.0,10000000,,
D00360,N13003,T0,Recyclables,0.0,10000000,,
D00361,N13005,T0,Recyclables,0.0,10000000,,
D00362,N13007,T0,Recyclables,0.0,10000000,,
D00363,N13009,T0,Recyclables,0.0,10000000,,
D00364,N13011,T0,Recyclables,0.0,10000000,,
D00365,N13013,T0,Recyclables,0.0,10000000,,
D00366,N13015,T0,Recyclables,0.0,10000000,,
D00367,N13017,T0,Recyclables,0.0,10000000,,
D00368,N13019,T0,Recyclables,0.0,10000000,,
D00369,N13021,T0,Recyclables,0.0,10000000,,
D00370,N13023,T0,Recyclables,0.0,10000000,,
D00371,N13025,T0,Recyclables,0.0,10000000,,
